Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
AJIBARANG;BANJARSARI;TPS-022;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142005/3302142005022
AJIBARANG;BANJARSARI;TPS-023;15;14;42;3;63;0;2;18;0;1;0;6;0;9;0;1;0;0
AJIBARANG;CIBERUNG;TPS-001;21;15;52;6;56;0;0;4;0;0;0;12;0;6;0;0;3;0
AJIBARANG;CIBERUNG;TPS-002;26;37;48;6;21;0;0;7;0;0;0;6;0;9;5;1;10;0
AJIBARANG;CIBERUNG;TPS-003;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142015/3302142015003
AJIBARANG;CIBERUNG;TPS-004;25;11;65;6;23;1;1;22;0;0;0;4;0;14;1;1;10;1
AJIBARANG;CIBERUNG;TPS-005;22;17;58;13;16;0;1;34;0;1;1;8;0;4;3;2;1;0
AJIBARANG;CIBERUNG;TPS-006;39;15;50;19;22;4;0;7;0;1;0;4;0;9;3;2;5;0
AJIBARANG;CIBERUNG;TPS-007;28;31;39;10;19;0;0;16;0;1;1;16;1;4;0;0;5;0
AJIBARANG;CIBERUNG;TPS-008;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3302/330214/3302142015/3302142015008
AJIBARANG;CIBERUNG;TPS-009;30;11;97;7;30;1;1;9;0;0;0;1;0;2;0;1;12;0
AJIBARANG;CIBERUNG;TPS-010;38;8;99;15;14;1;0;10;0;0;0;4;0;1;2;0;7;0
