Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
ADIPALA;GOMBOLHARJO;TPS-001;4;32;44;6;5;0;0;5;4;0;0;9;0;3;3;30;40;0
ADIPALA;GOMBOLHARJO;TPS-002;8;27;52;7;12;0;3;8;2;1;0;20;0;4;2;22;40;0
ADIPALA;GOMBOLHARJO;TPS-003;9;24;54;4;10;1;1;7;2;0;0;9;1;3;2;22;22;0
ADIPALA;GOMBOLHARJO;TPS-004;7;23;56;5;7;0;0;4;1;1;0;7;0;8;5;45;23;0
ADIPALA;GOMBOLHARJO;TPS-005;11;28;35;8;6;2;1;4;3;1;0;8;0;10;4;44;36;0
ADIPALA;GOMBOLHARJO;TPS-006;19;27;52;13;12;1;0;4;1;0;0;11;0;10;1;25;30;0
ADIPALA;GOMBOLHARJO;TPS-007;14;24;56;9;10;1;3;5;1;0;0;2;0;10;2;20;26;0
ADIPALA;GOMBOLHARJO;TPS-008;16;21;45;4;5;2;0;1;1;2;0;16;0;24;1;27;22;0
ADIPALA;GOMBOLHARJO;TPS-009;18;28;43;7;14;1;3;6;2;0;0;7;0;5;1;32;17;0
ADIPALA;GOMBOLHARJO;TPS-010;12;18;37;2;6;1;5;5;0;0;2;1;0;4;5;35;58;0
ADIPALA;KALIKUDI;TPS-001;12;52;24;10;4;1;3;3;0;0;1;11;0;3;2;0;37;0
ADIPALA;KALIKUDI;TPS-002;3;66;34;10;11;1;1;3;0;0;0;19;0;2;3;1;30;0
ADIPALA;KALIKUDI;TPS-003;4;34;15;10;24;2;1;8;1;0;1;24;0;2;1;2;79;0
ADIPALA;KALIKUDI;TPS-004;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032014/3301032014004
ADIPALA;KALIKUDI;TPS-005;14;16;19;21;15;2;0;5;2;0;0;7;0;4;5;1;68;0
ADIPALA;KALIKUDI;TPS-006;14;20;26;22;9;0;2;5;1;0;1;12;0;36;0;1;36;0
ADIPALA;KALIKUDI;TPS-007;20;40;29;18;12;3;1;1;2;1;0;14;0;13;3;3;23;0
ADIPALA;KALIKUDI;TPS-008;7;36;12;21;31;1;0;7;0;0;0;27;0;9;2;2;37;0
ADIPALA;KALIKUDI;TPS-009;7;36;34;18;32;2;1;6;0;0;0;12;0;3;1;1;35;0
ADIPALA;KALIKUDI;TPS-010;11;29;27;20;11;1;1;15;0;0;1;25;0;3;3;0;24;0
ADIPALA;KALIKUDI;TPS-011;16;48;34;11;10;1;3;2;1;0;0;8;0;12;1;7;32;0
ADIPALA;KALIKUDI;TPS-012;12;43;21;20;10;0;0;5;0;1;0;33;0;2;1;7;37;0
ADIPALA;KALIKUDI;TPS-013;3;73;31;6;4;0;2;3;0;0;0;24;0;4;2;4;26;1
ADIPALA;KALIKUDI;TPS-014;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032014/3301032014014
ADIPALA;KALIKUDI;TPS-015;9;48;20;20;9;1;0;5;3;0;0;47;0;1;6;4;6;1
ADIPALA;KALIKUDI;TPS-016;14;38;30;7;7;0;3;6;0;0;0;46;0;9;2;9;22;0
ADIPALA;KALIKUDI;TPS-017;13;32;38;8;5;1;0;6;1;0;0;45;0;6;0;2;24;1
ADIPALA;KALIKUDI;TPS-018;46;20;28;10;3;1;0;2;3;0;0;34;0;4;0;1;28;0
ADIPALA;KALIKUDI;TPS-019;59;25;22;5;10;2;3;6;1;0;2;11;0;16;1;2;26;0
ADIPALA;KALIKUDI;TPS-020;31;31;18;7;5;8;1;5;4;1;1;10;1;23;1;2;39;2
ADIPALA;KALIKUDI;TPS-021;15;14;20;5;3;2;1;7;1;0;0;1;0;12;1;0;76;0
ADIPALA;KARANGANYAR;TPS-001;87;19;46;17;5;0;0;3;0;0;0;12;3;0;3;1;4;0
ADIPALA;KARANGANYAR;TPS-002;20;10;57;29;2;0;1;5;0;0;0;49;0;1;0;0;9;0
ADIPALA;KARANGANYAR;TPS-003;22;27;66;11;11;2;1;6;0;0;0;10;0;4;3;1;20;0
ADIPALA;KARANGANYAR;TPS-004;8;31;63;11;5;2;0;5;0;0;0;11;1;1;7;4;50;0
ADIPALA;KARANGANYAR;TPS-005;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032005/3301032005005
ADIPALA;KARANGANYAR;TPS-006;12;26;75;14;2;0;1;7;0;2;0;4;0;2;2;5;16;0
ADIPALA;KARANGANYAR;TPS-007;21;37;57;12;12;1;0;10;0;0;0;14;0;4;2;7;9;1
ADIPALA;KARANGANYAR;TPS-008;30;27;81;6;8;0;0;2;1;0;0;5;0;9;6;1;4;0
ADIPALA;KARANGANYAR;TPS-009;38;25;43;8;6;0;3;4;0;1;0;8;2;11;2;9;9;0
ADIPALA;KARANGANYAR;TPS-010;34;28;51;3;2;1;0;4;0;0;0;11;0;4;0;30;5;0
ADIPALA;KARANGANYAR;TPS-011;30;27;44;5;10;3;0;8;0;1;0;7;1;3;5;4;11;0
ADIPALA;KARANGBENDA;TPS-001;10;28;45;79;1;1;2;10;0;0;0;22;0;8;1;1;2;0
ADIPALA;KARANGBENDA;TPS-002;23;25;66;15;0;0;2;3;0;0;0;13;0;5;1;0;33;0
ADIPALA;KARANGBENDA;TPS-003;6;31;95;30;0;0;1;1;3;0;0;7;0;5;2;1;7;0
ADIPALA;KARANGBENDA;TPS-004;9;14;140;8;1;1;0;3;0;0;0;0;0;10;6;0;0;0
ADIPALA;KARANGBENDA;TPS-005;33;41;57;8;5;0;0;6;1;0;1;0;0;10;5;4;7;0
ADIPALA;KARANGBENDA;TPS-006;20;21;52;16;4;1;1;2;0;0;0;25;0;7;8;3;16;0
ADIPALA;KARANGBENDA;TPS-007;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032004/3301032004007
ADIPALA;KARANGBENDA;TPS-008;8;36;47;17;2;0;1;9;0;0;0;0;0;18;0;0;0;0
ADIPALA;KARANGBENDA;TPS-009;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032004/3301032004009
ADIPALA;KARANGBENDA;TPS-010;20;25;42;32;8;1;2;4;1;0;0;5;0;15;2;0;0;0
ADIPALA;KARANGSARI;TPS-001;7;27;56;11;3;0;1;2;0;0;1;30;0;10;7;0;5;0
